objectid,display_template,parentid,sequence,file_name,identifier,image_small,image_thumb,image_alt_text,object_transcript,title,ark,avian_id,uid,archival_call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,creator,creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,contributor,contributor_uri,description,disclaimer,language,chronological_subject,name_subject,name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,relation,relation_uri,digital_origin
iowaornithassoc_017,image,iowaornithassoc_017,,ms0581b001f001i0017.jpg,ms0581b001f001i0017,/public_html/objects/ioa/small/ms0581b001f001i0017_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0017_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_018,image,iowaornithassoc_018,,ms0581b001f001i0018.jpg,ms0581b001f001i0018,/public_html/objects/ioa/small/ms0581b001f001i0018_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0018_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_019,image,iowaornithassoc_019,,ms0581b001f001i0019.jpg,ms0581b001f001i0019,/public_html/objects/ioa/small/ms0581b001f001i0019_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0019_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_020,image,iowaornithassoc_020,,ms0581b001f001i0020.jpg,ms0581b001f001i0020,/public_html/objects/ioa/small/ms0581b001f001i0020_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0020_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_021,image,iowaornithassoc_021,,ms0581b001f001i0021.jpg,ms0581b001f001i0021,/public_html/objects/ioa/small/ms0581b001f001i0021_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0021_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_022,image,iowaornithassoc_022,,ms0581b001f001i0022.jpg,ms0581b001f001i0022,/public_html/objects/ioa/small/ms0581b001f001i0022_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0022_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_023,image,iowaornithassoc_023,,ms0581b001f001i0023.jpg,ms0581b001f001i0023,/public_html/objects/ioa/small/ms0581b001f001i0023_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0023_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_024,image,iowaornithassoc_024,,ms0581b001f001i0024.jpg,ms0581b001f001i0024,/public_html/objects/ioa/small/ms0581b001f001i0024_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0024_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_025,image,iowaornithassoc_025,,ms0581b001f001i0025.jpg,ms0581b001f001i0025,/public_html/objects/ioa/small/ms0581b001f001i0025_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0025_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_026,image,iowaornithassoc_026,,ms0581b001f001i0026.jpg,ms0581b001f001i0026,/public_html/objects/ioa/small/ms0581b001f001i0026_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0026_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
